tweet_dt,topic,id,username,name,number of followers,tweet,tag_type,tag,sentiment,polarity,like_count,reply_count,retweet_count,account_start_date,verified_user,location,total number of tweets
2020-09-18,Pakistan,1306813763170054145,rhmalik51,Rashid Hussain Malik,12,@jamilnagri And an end to Pakistan’s as well as world resolution that Kashmir is disputed. It is becoming evident t… https://t.co/2W4HT47GRW,,Pakistan,POSITIVE,0.9160212874412537,0,0,0,2013-02-23 03:20:37,False,"Rawalpindi, Pakistan",2290
2020-09-18,Pakistan,1306813763170054145,rhmalik51,Rashid Hussain Malik,12,@jamilnagri And an end to Pakistan’s as well as world resolution that Kashmir is disputed. It is becoming evident t… https://t.co/2W4HT47GRW,,Kashmir,POSITIVE,0.9160212874412537,0,0,0,2013-02-23 03:20:37,False,"Rawalpindi, Pakistan",2290
2020-09-18,Pakistan,1306813759613214721,Pak_Customs,Pakistan Customs Service Officers Association,2861,"4/4

6. All international agencies have appreciated professional competence of Pakistan Customs in execution of thi… https://t.co/btwa9dzfYt",,Pakistan Customs,POSITIVE,0.9813578724861145,0,0,0,2020-06-26 08:17:11,False,Pakistan ,154
2020-09-18,Pakistan,1306813721818181633,RaghuPune,Raghubir Singh,42,@JagranNews @Arzookazmi30 Now even Shias are being called Kafirs -if sloganeering in Karachi be any indication?Ahme… https://t.co/QyZOlSBEls,,Kafirs,NEGATIVE,-0.9216047525405884,0,0,0,2016-12-11 11:54:24,False,,8902
2020-09-18,Pakistan,1306813721818181633,RaghuPune,Raghubir Singh,42,@JagranNews @Arzookazmi30 Now even Shias are being called Kafirs -if sloganeering in Karachi be any indication?Ahme… https://t.co/QyZOlSBEls,,Karachi,NEGATIVE,-0.9216047525405884,0,0,0,2016-12-11 11:54:24,False,,8902
2020-09-18,Pakistan,1306813711173255174,pakistaninews,Pakistan News,95771,Pakistan Quiz: Society ‘proud to be partners with Honehar Pakistan. #pakistan https://t.co/iSwQq1lVIP,,Pakistan,POSITIVE,0.9678550958633423,0,0,0,2009-02-02 18:33:47,False,"Islamabad, Pakistan",287881
2020-09-18,Pakistan,1306813711173255174,pakistaninews,Pakistan News,95771,Pakistan Quiz: Society ‘proud to be partners with Honehar Pakistan. #pakistan https://t.co/iSwQq1lVIP,,Honehar Pakistan,POSITIVE,0.9678550958633423,0,0,0,2009-02-02 18:33:47,False,"Islamabad, Pakistan",287881
2020-09-18,Pakistan,1306813711173255174,pakistaninews,Pakistan News,95771,Pakistan Quiz: Society ‘proud to be partners with Honehar Pakistan. #pakistan https://t.co/iSwQq1lVIP,,pakistan,POSITIVE,0.9678550958633423,0,0,0,2009-02-02 18:33:47,False,"Islamabad, Pakistan",287881
2020-09-18,Pakistan,1306813711173255174,pakistaninews,Pakistan News,95771,Pakistan Quiz: Society ‘proud to be partners with Honehar Pakistan. #pakistan https://t.co/iSwQq1lVIP,Hashtag,#pakistan,POSITIVE,0.9678550958633423,0,0,0,2009-02-02 18:33:47,False,"Islamabad, Pakistan",287881
2020-09-18,Pakistan,1306813706676781057,yraze,yRaze,2686,"via @regvulture Pakistan to smartphone-makers: Come for the low tax, stay to create your replacements https://t.co/XumzZb53dw",,Pakistan,NEGATIVE,-0.9995834231376648,0,0,0,2011-04-01 05:46:32,False,,238971
2020-09-18,Pakistan,1306813684954460160,SandeepKarwa18,Sandy K,97,"@Mishti_in You guys study to get job in india else you have possibilities in Pakistan , NO VISA EDUCATION REQUIRED IN PAKISTAN 😂",,Pakistan,NEGATIVE,-0.9972434043884277,0,0,0,2020-01-08 09:58:15,False,Hyderabad,7499
2020-09-18,Pakistan,1306813684954460160,SandeepKarwa18,Sandy K,97,"@Mishti_in You guys study to get job in india else you have possibilities in Pakistan , NO VISA EDUCATION REQUIRED IN PAKISTAN 😂",,PAKISTAN,NEGATIVE,-0.9972434043884277,0,0,0,2020-01-08 09:58:15,False,Hyderabad,7499
2020-09-18,Pakistan,1306813674170904576,Riyadenny,Riya_s,2618,"But we won war against Corona in 21 days.  Are you talking about Pakistan? Well, I am not interested in hearing any… https://t.co/sBcxYWEnso",,Corona,NEGATIVE,-0.999510645866394,1,0,1,2010-02-04 17:35:10,False,Kochi,87436
2020-09-18,Pakistan,1306813674170904576,Riyadenny,Riya_s,2618,"But we won war against Corona in 21 days.  Are you talking about Pakistan? Well, I am not interested in hearing any… https://t.co/sBcxYWEnso",,Pakistan,NEGATIVE,-0.999510645866394,1,0,1,2010-02-04 17:35:10,False,Kochi,87436
2020-09-18,Pakistan,1306813632081256449,itsabrowngal,MariamSohail,3,This guy at work telling me how much he loves India 🇮🇳 and that he wants to visit the country. Arm ok? Me too!!! Bc… https://t.co/ZgBqHJfQ6x,,India,POSITIVE,0.9610644578933716,0,0,0,2020-09-17 09:06:56,False,"Chicago, IL",8
2020-09-18,Pakistan,1306813603173953537,SudeepC11,Sudeep Chatterjee,3,@sharrmasumann @narendramodi Twitter is officially banned in China and PM deleted his profile from Weibo😜 so Xi din… https://t.co/T4WGLa8g5a,,China,NEGATIVE,-0.9996089339256287,0,0,0,2017-01-01 18:26:15,False,,2402
2020-09-18,Pakistan,1306813603173953537,SudeepC11,Sudeep Chatterjee,3,@sharrmasumann @narendramodi Twitter is officially banned in China and PM deleted his profile from Weibo😜 so Xi din… https://t.co/T4WGLa8g5a,,Weibo,NEGATIVE,-0.9996089339256287,0,0,0,2017-01-01 18:26:15,False,,2402
2020-09-18,Pakistan,1306813577051996162,TopTrendsWatch,Top Trends Watch 🇵🇰,6289,"Just started trending in Pakistan.

5 gossip
Chairman PPP
#COVID__19",,Pakistan,POSITIVE,0.9310654401779175,0,0,0,2010-03-18 06:47:03,False,Pakistan,71292
2020-09-18,Pakistan,1306813577051996162,TopTrendsWatch,Top Trends Watch 🇵🇰,6289,"Just started trending in Pakistan.

5 gossip
Chairman PPP
#COVID__19",Hashtag,#COVID__19,POSITIVE,0.9310654401779175,0,0,0,2010-03-18 06:47:03,False,Pakistan,71292
2020-09-18,Pakistan,1306813572153069568,EmToxic__,ItsNigarisyed,61,"This is How TO LOVE PAKISTAN 
🇵🇰🤍
Remain Calm Peaceful UNITE 
🇵🇰🤍
After Being Cursed Abused &amp; Fatawafied __ 
Allama… https://t.co/Q2zKocbXpb",,PAKISTAN,POSITIVE,0.9508768320083618,1,0,0,2020-02-26 12:18:06,False,Pakistan,544
2020-09-18,Pakistan,1306813572153069568,EmToxic__,ItsNigarisyed,61,"This is How TO LOVE PAKISTAN 
🇵🇰🤍
Remain Calm Peaceful UNITE 
🇵🇰🤍
After Being Cursed Abused &amp; Fatawafied __ 
Allama… https://t.co/Q2zKocbXpb",,Allama,POSITIVE,0.9508768320083618,1,0,0,2020-02-26 12:18:06,False,Pakistan,544
2020-09-18,Pakistan,1306813515009863680,TalhaH77896733,Talha H,8,@DrMuradPTI Pakistan doesn't have only Aitchison college where only Elite class studies. you have to look after the… https://t.co/rrA0cjnHE7,,Pakistan,NEGATIVE,-0.6307549476623535,0,0,0,2020-03-26 18:29:33,False,,207
2020-09-18,Pakistan,1306813515009863680,TalhaH77896733,Talha H,8,@DrMuradPTI Pakistan doesn't have only Aitchison college where only Elite class studies. you have to look after the… https://t.co/rrA0cjnHE7,,Aitchison,NEGATIVE,-0.6307549476623535,0,0,0,2020-03-26 18:29:33,False,,207
2020-09-18,Pakistan,1306813466070540288,Kaushal23570720,Kaushalsingh,0,@majorgauravarya @ImranKhanPTI Sir Taliban is not helping Pakistan in Kashmir and this is a very right time for Ind… https://t.co/t8qLL6TFf8,,Taliban,NEGATIVE,-0.5540655851364136,0,0,0,2020-09-18 02:47:28,False,,1
2020-09-18,Pakistan,1306813466070540288,Kaushal23570720,Kaushalsingh,0,@majorgauravarya @ImranKhanPTI Sir Taliban is not helping Pakistan in Kashmir and this is a very right time for Ind… https://t.co/t8qLL6TFf8,,Pakistan,NEGATIVE,-0.5540655851364136,0,0,0,2020-09-18 02:47:28,False,,1
2020-09-18,Pakistan,1306813466070540288,Kaushal23570720,Kaushalsingh,0,@majorgauravarya @ImranKhanPTI Sir Taliban is not helping Pakistan in Kashmir and this is a very right time for Ind… https://t.co/t8qLL6TFf8,,Kashmir,NEGATIVE,-0.5540655851364136,0,0,0,2020-09-18 02:47:28,False,,1
2020-09-18,Pakistan,1306813450924879872,Sarath61401250,Sarath,0,China-Pakistan Economic Corridor Chairman braces for further heat over kins' corruption - The Economic Times… https://t.co/Yewj2U7Ic4,,China-Pakistan Economic Corridor,NEGATIVE,-0.6832107901573181,0,0,0,2020-09-03 15:09:23,False,,12
2020-09-18,Pakistan,1306813450924879872,Sarath61401250,Sarath,0,China-Pakistan Economic Corridor Chairman braces for further heat over kins' corruption - The Economic Times… https://t.co/Yewj2U7Ic4,,The Economic Times,NEGATIVE,-0.6832107901573181,0,0,0,2020-09-03 15:09:23,False,,12
2020-09-18,Pakistan,1306813437352181766,PriyankaLahiri_,Priyanka,12006,@sob_dylan This time i cant even go to pakistan. Waha se bhi nikaal denge,,pakistan,POSITIVE,0.8706138134002686,0,0,0,2009-06-14 20:10:40,False,India,71542
